"Topic","Q#","Difficulty","Question","Option A","Option B","Option C","Option D","Correct (1-4)","Correct Answer Text","Explanation"
"psych-nursing-personality","19","medium","A patient on buprenorphine/naloxone (Suboxone) asks why the medication contains naloxone. The nurse's BEST explanation is:","""The naloxone treats your depression as well.""","""If injected rather than taken under the tongue, the naloxone blocks opioid effects and precipitates withdrawal — deterring misuse.""","""The naloxone helps with pain relief.""","""Naloxone makes the medication taste better.""","2","""If injected rather than taken under the tongue, the naloxone blocks opioid effects and precipitates withdrawal — deterring misuse.""","Suboxone: sublingual buprenorphine (partial agonist) + naloxone (antagonist). When taken sublingually, naloxone has poor bioavailability. If injected, naloxone precipitates withdrawal — this deters IV misuse of the formulation."
"psych-nursing-personality","20","medium","A patient with substance use disorder and PTSD (dual diagnosis) requires which treatment approach?","Treat PTSD first, then substance use","Treat substance use first, then PTSD","Integrated dual diagnosis treatment addressing both conditions simultaneously","PTSD cannot be treated until the patient is 1 year sober","3","Integrated dual diagnosis treatment addressing both conditions simultaneously","Integrated dual diagnosis treatment (addressing comorbid substance use and mental health simultaneously) has stronger evidence than sequential models. PTSD and substance use are often mutually maintaining."
"psych-nursing-personality","21","medium","The nurse is caring for a patient in opioid withdrawal. Which symptom cluster does NOT typically occur in opioid withdrawal?","Rhinorrhoea, yawning, and lacrimation","Muscle aching, gooseflesh, and diarrhoea","Seizures and delirium tremens","Anxiety, insomnia, and restlessness","3","Seizures and delirium tremens","Opioid withdrawal is extremely uncomfortable but does NOT typically cause seizures or delirium tremens (these are hallmarks of alcohol/benzodiazepine withdrawal). Opioid withdrawal: flu-like syndrome, GI distress, anxiety."
"psych-nursing-personality","22","easy","The nurse is providing harm reduction information to a patient who is injecting drugs. Which is the MOST important immediate harm reduction message?","""You need to stop using immediately.""","""Never share needles or injecting equipment, and use services that provide clean needles.""","""Use drugs only in the privacy of your own home.""","""Cannabis is much safer — switch to that instead.""","2","""Never share needles or injecting equipment, and use services that provide clean needles.""","Needle sharing transmits HIV, Hepatitis B, and C — potentially fatal infections. Needle exchange reduces transmission. Harm reduction messages must prioritise the most immediately life-threatening risks."
"psych-nursing-personality","23","medium","A patient with paranoid personality disorder refuses to answer nursing questions, stating ""You're just collecting information to use against me."" The BEST nursing approach is:","Push for answers, explaining that this information is required","Be transparent about the purpose of each question, proceed slowly, and respect boundaries","Involve family to provide information on the patient\'s behalf","Document as uncooperative and escalate to management","2","Be transparent about the purpose of each question, proceed slowly, and respect boundaries","Paranoid PD: transparency, predictability, and respecting boundaries build trust. Coercion or third-party circumvention confirms fears. Patience and slow trust-building are the appropriate approach."
"psych-nursing-personality","24","hard","A patient with OUD (opioid use disorder) is admitted for a hip replacement. The nurse should:","Withhold all opioids postoperatively to avoid relapse","Maintain their daily methadone or buprenorphine dose and use multimodal analgesia for surgical pain","Treat the patient\'s pain with only non-opioid analgesia","Consult addiction psychiatry before giving any analgesia","2","Maintain their daily methadone or buprenorphine dose and use multimodal analgesia for surgical pain","OUD patients on maintenance therapy should continue their maintenance dose (which does NOT treat surgical pain) PLUS additional analgesics for post-surgical pain using a multimodal approach. Inadequate analgesia increases relapse risk."
"psych-nursing-special","1","easy","The FIRST priority when assessing a child presenting with possible physical abuse is:","Interviewing the parents together with the child","Ensuring the child\'s immediate physical safety and involving the safeguarding team","Completing a comprehensive social history","Informing the parents that a referral will be made","2","Ensuring the child\'s immediate physical safety and involving the safeguarding team","Child safety is the absolute first priority. The safeguarding/child protection team must be involved immediately. Interviewing parents together with the child can compromise both the child's safety and the investigation."
"psych-nursing-special","2","medium","When assessing a suicidal elderly patient who is socially isolated, the nurse should recognise which additional risk factor?","Elderly patients rarely complete suicide","Older age is a protective factor against suicide","Elderly men have the highest suicide completion rate; social isolation increases risk","Social isolation in the elderly is not a significant suicide risk factor","3","Elderly men have the highest suicide completion rate; social isolation increases risk","Elderly men (particularly widowed or divorced) have the highest suicide completion rates of any demographic. Social isolation, chronic pain, hopelessness, and functional decline are key risk factors in this population."
"psych-nursing-special","3","medium","A pregnant woman discloses domestic violence to the nurse during a routine antenatal visit. The BEST initial response is:","""Have you considered leaving the relationship?""","""Thank you for trusting me. You are safe here — can you tell me more about what\'s been happening?""","""I\'ll need to call the police immediately.""","""This information will remain between us — I won\'t document it.""","2","""Thank you for trusting me. You are safe here — can you tell me more about what\'s been happening?""","Trauma-informed response: acknowledge the disclosure, ensure safety and confidentiality principles, and explore further without immediately directing action (which can feel coercive and reduce disclosure)."
"psych-nursing-special","4","medium","A nurse working with refugee patients should recognise that mental health presentations may differ because:","Refugees are less likely to have mental illness","Cultural expression of psychological distress varies; somatisation and culturally specific idioms of distress are common","Interpreters always accurately convey psychiatric symptoms","Refugee patients should be treated identically to all other patients without accommodation","2","Cultural expression of psychological distress varies; somatisation and culturally specific idioms of distress are common","Culturally competent care recognises that distress is expressed differently across cultures. Somatisation is common where mental illness carries stigma. Interpreters must be trained; family members should not translate sensitive content."
"psych-nursing-special","5","medium","The nurse is caring for a patient with learning disability (intellectual disability) who is in pain. The BEST assessment approach is:","Rely on patient self-report only","Use a validated pain scale appropriate for cognitive level (e.g. Abbey pain scale) and observe behavioural cues","Ask family members exclusively to describe pain","Assume patients with LD cannot feel pain normally","2","Use a validated pain scale appropriate for cognitive level (e.g. Abbey pain scale) and observe behavioural cues","Patients with ID may not be able to reliably self-report pain. Validated observational tools (Abbey, NCCPC) assessing behaviour, facial expression, and vocalisation are used alongside any available self-report."
"psych-nursing-special","6","easy","A patient with dementia in care keeps trying to leave the ward, saying they need to go home to cook dinner for their children. The BEST nursing intervention is:","Lock the ward doors without explanation","Gently redirect using distraction and reality orientation, acknowledge feelings, and engage in a meaningful activity","Confront the patient with the fact that their children are adults","Apply physical restraint to prevent falls from elopement","2","Gently redirect using distraction and reality orientation, acknowledge feelings, and engage in a meaningful activity","Validation + redirection: acknowledge the emotional need (wanting to care for family), redirect to safe activity. Confrontation with reality can cause distress in dementia. Restraint is a last resort."
"psych-nursing-special","7","medium","A forensic psychiatric patient has been found not guilty by reason of insanity. The nursing care goal is PRIMARILY focused on:","Punishment for the offence","Ongoing risk assessment, mental health treatment, and rehabilitation","Permanent detention regardless of clinical status","Providing comfort without any restrictions","2","Ongoing risk assessment, mental health treatment, and rehabilitation","Forensic psychiatric nursing: treatment, risk management, and rehabilitation are the primary goals — not punishment. Risk assessment informs safe graduated re-integration into the community."
"psych-nursing-special","8","easy","A child discloses sexual abuse to the nurse. The nurse should FIRST:","Ask detailed questions to get a full account","Listen, avoid leading questions, reassure the child they are not in trouble, and immediately involve the safeguarding/child protection team","Call the police before notifying the safeguarding team","Inform the parents immediately","2","Listen, avoid leading questions, reassure the child they are not in trouble, and immediately involve the safeguarding/child protection team","The nurse should provide immediate support without conducting a forensic interview (which could contaminate evidence). Safeguarding team involvement is the priority. Do not inform the alleged perpetrator."
"psych-nursing-special","9","medium","A patient in a psychiatric unit who lacks mental capacity consistently refuses all personal hygiene assistance. Under the Mental Capacity Act (or equivalent), the nurse should:","Respect the refusal absolutely regardless of outcomes","Apply a best-interests decision with the least restrictive approach, documenting the rationale","Physically force the patient to maintain hygiene for their dignity","Leave hygiene care entirely to family members","2","Apply a best-interests decision with the least restrictive approach, documenting the rationale","For patients lacking capacity, a best-interests assessment (considering the patient's past wishes, values, and involving relevant parties) guides care. The least restrictive intervention consistent with safety/dignity is applied."
"psych-nursing-special","10","easy","Perinatal mental health care is important because:","Postpartum depression is not clinically significant and resolves without treatment","Untreated perinatal mental illness can affect maternal-infant attachment and child development","Mental illness medications are completely safe in pregnancy","Perinatal mental health disorders affect fewer than 1% of women","2","Untreated perinatal mental illness can affect maternal-infant attachment and child development","Perinatal mental illness (affecting ~10–20% of women) can disrupt attachment, infant development, and family wellbeing. Early identification and treatment significantly improve outcomes for mother and child."
"psych-nursing-special","11","hard","A nurse working in a prison discovers an inmate is self-harming. The ethical principle MOST in tension is:","Autonomy vs. veracity","Autonomy vs. beneficence/non-maleficence","Justice vs. fidelity","Confidentiality vs. veracity","2","Autonomy vs. beneficence/non-maleficence","The ethical tension: the prisoner's autonomy and right to self-determination vs. the nurse's duty of care and the institution's security obligations. This conflict is central to forensic/prison nursing ethics."
"psych-nursing-special","12","easy","When caring for an older adult with delirium, the nurse should prioritise which non-pharmacological intervention?","Bed rest in a darkened room","Regular reorientation, familiar objects, adequate hydration and lighting, and involving family","Sedation to prevent falls","Reducing all social interaction to avoid overstimulation","2","Regular reorientation, familiar objects, adequate hydration and lighting, and involving family","Non-pharmacological delirium care: regular reorientation, adequate lighting, familiar objects, hydration, mobilisation, hearing aids/glasses, and family involvement reduce severity and duration of delirium."
"psych-nursing-special","13","medium","A nurse is treating a patient with anorexia nervosa. Which physical finding requires IMMEDIATE medical attention?","BMI of 17","Heart rate of 48 bpm and QTc 490ms on ECG","Mild hair loss (lanugo)","Amenorrhoea for 3 months","2","Heart rate of 48 bpm and QTc 490ms on ECG","Bradycardia + prolonged QTc = high risk of fatal arrhythmia in anorexia. This is a medical emergency requiring immediate physician review and potentially cardiac monitoring. The most immediately dangerous finding."
"psych-nursing-special","14","easy","A child with ADHD is starting methylphenidate. The nurse's teaching to parents should include:","""Give the medication after school to help with homework.""","""Monitor appetite and growth; give medication in the morning; report any new mood changes, palpitations or tics.""","""The medication is addictive and should not be used long-term.""","""Side effects of methylphenidate are severe and permanent.""","2","""Monitor appetite and growth; give medication in the morning; report any new mood changes, palpitations or tics.""","Methylphenidate: give in the morning (stimulant effect lasts through school hours, avoids insomnia). Monitor appetite (anorexia common), growth, cardiovascular effects, and psychiatric side effects."
"psych-nursing-special","15","medium","Which principle of mental health law MOST reflects the recovery model?","Detention in hospital for any risk factor","Supported decision-making that maximises patient autonomy","Clinicians making all treatment decisions for psychiatric patients","Involuntary treatment as the default for severe mental illness","2","Supported decision-making that maximises patient autonomy","The recovery model emphasises hope, autonomy, and self-determination. Mental health legislation increasingly reflects this — supporting the patient's own decision-making rather than substituting for it."
"psych-nursing-special","16","easy","The nurse is supporting a patient from a culture where mental illness is attributed to spiritual causes. The MOST appropriate approach is:","""Mental illness is a medical condition — spiritual beliefs are irrelevant to treatment.""","""Tell me more about how you understand what\'s happening to you — I want to understand your perspective.""","""We\'ll work with your spiritual healer instead of medication.""","""Your beliefs may be part of your mental illness.""","2","""Tell me more about how you understand what\'s happening to you — I want to understand your perspective.""","Culturally safe, person-centred care requires understanding the patient's explanatory model without dismissing or pathologising their beliefs. Exploring their perspective builds trust and enables collaborative negotiation of care."
"psych-nursing-special","17","medium","A psychiatric nurse is caring for a terminally ill patient with comorbid schizophrenia. The nurse should recognise that:","Palliative care teams handle all aspects; psychiatric input is not required","Patients with severe mental illness have the same right to palliative care and must have their mental health needs integrated into end-of-life care","The patient\'s mental illness disqualifies them from advance care planning","Pain in this population should be managed with antipsychotics","2","Patients with severe mental illness have the same right to palliative care and must have their mental health needs integrated into end-of-life care","Patients with severe mental illness have equal rights to high-quality palliative care. Integrated psychiatric-palliative care ensures mental health, pain, and existential needs are all addressed at end of life."
"psych-nursing-special","18","easy","A nurse working night shift finds a patient unconscious on the floor. The SBAR handover to the on-call physician should begin with:","Background information about the patient\'s psychiatric diagnosis","""I\'m calling about [patient name, location]. I found them unconscious on the floor — they are not responding.""","The nurse\'s assessment of the likely cause","A recommendation for medication","2","""I\'m calling about [patient name, location]. I found them unconscious on the floor — they are not responding.""","SBAR starts with Situation — the immediate, specific concern. ""Unconscious patient found on the floor"" is the urgent clinical situation that establishes why you are calling and what action is needed."
"psych-nursing-special","19","easy","Compassion fatigue in psychiatric nursing is BEST prevented by:","Working additional shifts to stay engaged with patients","Regular clinical supervision, self-care strategies, and team debriefing","Avoiding emotionally intense patients","Keeping all work-related stress private","2","Regular clinical supervision, self-care strategies, and team debriefing","Clinical supervision provides a reflective space to process difficult experiences. Combined with self-care, peer support, and organisational debriefing, this is the evidence-based approach to preventing compassion fatigue."
"psych-nursing-special","20","easy","The nurse identifies that a patient with intellectual disability has been taken advantage of financially by a family member. This is an example of:","A normal family financial arrangement","Financial abuse — a safeguarding concern requiring immediate reporting","Acceptable informal care arrangement","A civil matter outside the nurse\'s scope","2","Financial abuse — a safeguarding concern requiring immediate reporting","Financial abuse of a vulnerable adult (including those with ID) is a safeguarding concern. The nurse has a legal and professional duty to report this through the safeguarding process."
"psych-nursing-special","21","easy","An adolescent patient discloses recreational cannabis use to the nurse. The nurse's FIRST response should be:","""You must stop immediately — it\'s illegal.""","""I appreciate you trusting me. Let me tell you about some of the risks, especially for developing brains, and what support is available.""","""I\'ll need to inform your parents.""","""Cannabis is relatively harmless at your age.""","2","""I appreciate you trusting me. Let me tell you about some of the risks, especially for developing brains, and what support is available.""","Non-judgemental, informative response builds trust. Educating about adolescent-specific risks (psychosis risk, developing brain effects) is appropriate without immediately threatening confidentiality (unless safety is at risk)."
"psych-nursing-special","22","hard","A patient is admitted involuntarily under the Mental Health Act. They ask ""Can I refuse medication?"" The correct response is:","""No — because you\'re here involuntarily, you have no rights.""","""Yes — involuntary detention does not automatically remove the right to refuse treatment; this depends on your jurisdiction and whether a treatment order has been sought.""","""Yes, always — we cannot give you any medication without your consent.""","""No — all psychiatric patients must accept treatment.""","2","""Yes — involuntary detention does not automatically remove the right to refuse treatment; this depends on your jurisdiction and whether a treatment order has been sought.""","Involuntary admission does not automatically grant authority to treat without consent in many jurisdictions. A separate treatment order/certificate (capacity assessment + second opinion) is required. Laws vary — the nurse must know local legislation."
"psych-nursing-special","23","medium","The nurse is supporting a patient with anorexia nervosa in meal supervision. The MOST therapeutic stance is:","Negotiate how much the patient eats to reduce conflict","Maintain a non-negotiable, warm, and calm presence — sitting with the patient through distress without reinforcing restriction","Leave the patient to eat alone to preserve dignity","Threaten with nasogastric feeding if the patient does not eat all the food","2","Maintain a non-negotiable, warm, and calm presence — sitting with the patient through distress without reinforcing restriction","Meal support in anorexia: consistent boundaries (full prescribed meal), non-negotiable about food quantity, but warm and supportive presence. Negotiation reinforces the eating disorder; threats escalate distress."
"psych-nursing-special","24","medium","A nurse is asked to conduct electroconvulsive therapy (ECT) monitoring. Which assessment is MOST critical immediately post-procedure?","Oral cavity inspection for tongue biting","Level of consciousness, airway, and vital signs","Pain level at electrode sites","Patient\'s memory of the procedure","2","Level of consciousness, airway, and vital signs","Post-ECT: the patient is post-anaesthetic. Airway, LOC, and vital signs are the immediate priorities. Aspiration and cardiovascular instability are the acute risks in the recovery period."
